Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
0.45,0.0006373073073,999.8911912,4.211075075,55.2013013,13.12642643,1766.770771,1.767726727,-0.5714214214,755.7481481,13.48721722
0.46,0.0006379279279,999.890991,4.211054054,55.2036036,13.12702703,1766.288288,1.767243243,-0.5700900901,755.7333333,13.48306306
0.47,0.0006385485485,999.8907908,4.211033033,55.20590591,13.12762763,1765.805806,1.76675976,-0.5687587588,755.7185185,13.47890891
0.48,0.0006391691692,999.8905906,4.211012012,55.20820821,13.12822823,1765.323323,1.766276276,-0.5674274274,755.7037037,13.47475475
0.49,0.0006397897898,999.8903904,4.210990991,55.21051051,13.12882883,1764.840841,1.765792793,-0.5660960961,755.6888889,13.4706006
0.5,0.0006404104104,999.8901902,4.21096997,55.21281281,13.12942943,1764.358358,1.765309309,-0.5647647648,755.6740741,13.46644645
0.51,0.000641031031,999.88999,4.210948949,55.21511512,13.13003003,1763.875876,1.764825826,-0.5634334334,755.6592593,13.46229229
0.52,0.0006416516517,999.8897898,4.210927928,55.21741742,13.13063063,1763.393393,1.764342342,-0.5621021021,755.6444444,13.45813814
0.53,0.0006422722723,999.8895896,4.210906907,55.21971972,13.13123123,1762.910911,1.763858859,-0.5607707708,755.6296296,13.45398398
0.54,0.0006428928929,999.8893894,4.210885886,55.22202202,13.13183183,1762.428428,1.763375375,-0.5594394394,755.6148148,13.44982983
0.55,0.0006435135135,999.8891892,4.210864865,55.22432432,13.13243243,1761.945946,1.762891892,-0.5581081081,755.6,13.44567568
0.56,0.0006441341341,999.888989,4.210843844,55.22662663,13.13303303,1761.463463,1.762408408,-0.5567767768,755.5851852,13.44152152
0.57,0.0006447547548,999.8887888,4.210822823,55.22892893,13.13363363,1760.980981,1.761924925,-0.5554454454,755.5703704,13.43736737
0.58,0.0006453753754,999.8885886,4.210801802,55.23123123,13.13423423,1760.498498,1.761441441,-0.5541141141,755.5555556,13.43321321
0.59,0.000645995996,999.8883884,4.210780781,55.23353353,13.13483483,1760.016016,1.760957958,-0.5527827828,755.5407407,13.42905906
0.6,0.0006466166166,999.8881882,4.21075976,55.23583584,13.13543544,1759.533534,1.760474474,-0.5514514515,755.5259259,13.4249049
0.61,0.0006472372372,999.887988,4.210738739,55.23813814,13.13603604,1759.051051,1.759990991,-0.5501201201,755.5111111,13.42075075
0.62,0.0006478578579,999.8877878,4.210717718,55.24044044,13.13663664,1758.568569,1.759507508,-0.5487887888,755.4962963,13.4165966
0.63,0.0006484784785,999.8875876,4.210696697,55.24274274,13.13723724,1758.086086,1.759024024,-0.5474574575,755.4814815,13.41244244
0.64,0.0006490990991,999.8873874,4.210675676,55.24504505,13.13783784,1757.603604,1.758540541,-0.5461261261,755.4666667,13.40828829
0.65,0.0006497197197,999.8871872,4.210654655,55.24734735,13.13843844,1757.121121,1.758057057,-0.5447947948,755.4518519,13.40413413
0.66,0.0006503403403,999.886987,4.210633634,55.24964965,13.13903904,1756.638639,1.757573574,-0.5434634635,755.437037,13.39997998
0.67,0.000650960961,999.8867868,4.210612613,55.25195195,13.13963964,1756.156156,1.75709009,-0.5421321321,755.4222222,13.39582583
0.68,0.0006515815816,999.8865866,4.210591592,55.25425425,13.14024024,1755.673674,1.756606607,-0.5408008008,755.4074074,13.39167167
0.69,0.0006522022022,999.8863864,4.210570571,55.25655656,13.14084084,1755.191191,1.756123123,-0.5394694695,755.3925926,13.38751752
0.7,0.0006528228228,999.8861862,4.21054955,55.25885886,13.14144144,1754.708709,1.75563964,-0.5381381381,755.3777778,13.38336336
0.71,0.0006534434434,999.885986,4.210528529,55.26116116,13.14204204,1754.226226,1.755156156,-0.5368068068,755.362963,13.37920921
0.72,0.0006540640641,999.8857858,4.210507508,55.26346346,13.14264264,1753.743744,1.754672673,-0.5354754755,755.3481481,13.37505506
0.73,0.0006546846847,999.8855856,4.210486486,55.26576577,13.14324324,1753.261261,1.754189189,-0.5341441441,755.3333333,13.3709009
0.74,0.0006553053053,999.8853854,4.210465465,55.26806807,13.14384384,1752.778779,1.753705706,-0.5328128128,755.3185185,13.36674675
0.75,0.0006559259259,999.8851852,4.210444444,55.27037037,13.14444444,1752.296296,1.753222222,-0.5314814815,755.3037037,13.36259259
0.76,0.0006565465465,999.884985,4.210423423,55.27267267,13.14504505,1751.813814,1.752738739,-0.5301501502,755.2888889,13.35843844
