Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
23.28,0.0029632,997.38,4.180048,60.5232,14.4968,937.58,0.940072,2.27592,722.0784,6.4952
23.29,0.0029651,997.3775,4.180039,60.5251,14.4974,937.3775,0.939871,2.27731,722.0637,6.4936
23.3,0.002967,997.375,4.18003,60.527,14.498,937.175,0.93967,2.2787,722.049,6.492
23.31,0.0029689,997.3725,4.180021,60.5289,14.4986,936.9725,0.939469,2.28009,722.0343,6.4904
23.32,0.0029708,997.37,4.180012,60.5308,14.4992,936.77,0.939268,2.28148,722.0196,6.4888
23.33,0.0029727,997.3675,4.180003,60.5327,14.4998,936.5675,0.939067,2.28287,722.0049,6.4872
23.34,0.0029746,997.365,4.179994,60.5346,14.5004,936.365,0.938866,2.28426,721.9902,6.4856
23.35,0.0029765,997.3625,4.179985,60.5365,14.501,936.1625,0.938665,2.28565,721.9755,6.484
23.36,0.0029784,997.36,4.179976,60.5384,14.5016,935.96,0.938464,2.28704,721.9608,6.4824
23.37,0.0029803,997.3575,4.179967,60.5403,14.5022,935.7575,0.938263,2.28843,721.9461,6.4808
23.38,0.0029822,997.355,4.179958,60.5422,14.5028,935.555,0.938062,2.28982,721.9314,6.4792
23.39,0.0029841,997.3525,4.179949,60.5441,14.5034,935.3525,0.937861,2.29121,721.9167,6.4776
23.4,0.002986,997.35,4.17994,60.546,14.504,935.15,0.93766,2.2926,721.902,6.476
23.41,0.0029879,997.3475,4.179931,60.5479,14.5046,934.9475,0.937459,2.29399,721.8873,6.4744
23.42,0.0029898,997.345,4.179922,60.5498,14.5052,934.745,0.937258,2.29538,721.8726,6.4728
23.43,0.0029917,997.3425,4.179913,60.5517,14.5058,934.5425,0.937057,2.29677,721.8579,6.4712
23.44,0.0029936,997.34,4.179904,60.5536,14.5064,934.34,0.936856,2.29816,721.8432,6.4696
23.45,0.0029955,997.3375,4.179895,60.5555,14.507,934.1375,0.936655,2.29955,721.8285,6.468
23.46,0.0029974,997.335,4.179886,60.5574,14.5076,933.935,0.936454,2.30094,721.8138,6.4664
23.47,0.0029993,997.3325,4.179877,60.5593,14.5082,933.7325,0.936253,2.30233,721.7991,6.4648
23.48,0.0030012,997.33,4.179868,60.5612,14.5088,933.53,0.936052,2.30372,721.7844,6.4632
23.49,0.0030031,997.3275,4.179859,60.5631,14.5094,933.3275,0.935851,2.30511,721.7697,6.4616
23.5,0.003005,997.325,4.17985,60.565,14.51,933.125,0.93565,2.3065,721.755,6.46
23.51,0.0030069,997.3225,4.179841,60.5669,14.5106,932.9225,0.935449,2.30789,721.7403,6.4584
23.52,0.0030088,997.32,4.179832,60.5688,14.5112,932.72,0.935248,2.30928,721.7256,6.4568
23.53,0.0030107,997.3175,4.179823,60.5707,14.5118,932.5175,0.935047,2.31067,721.7109,6.4552
23.54,0.0030126,997.315,4.179814,60.5726,14.5124,932.315,0.934846,2.31206,721.6962,6.4536
23.55,0.0030145,997.3125,4.179805,60.5745,14.513,932.1125,0.934645,2.31345,721.6815,6.452
23.56,0.0030164,997.31,4.179796,60.5764,14.5136,931.91,0.934444,2.31484,721.6668,6.4504
23.57,0.0030183,997.3075,4.179787,60.5783,14.5142,931.7075,0.934243,2.31623,721.6521,6.4488
23.58,0.0030202,997.305,4.179778,60.5802,14.5148,931.505,0.934042,2.31762,721.6374,6.4472
23.59,0.0030221,997.3025,4.179769,60.5821,14.5154,931.3025,0.933841,2.31901,721.6227,6.4456
23.6,0.003024,997.3,4.17976,60.584,14.516,931.1,0.93364,2.3204,721.608,6.444
23.61,0.0030259,997.2975,4.179751,60.5859,14.5166,930.8975,0.933439,2.32179,721.5933,6.4424
23.62,0.0030278,997.295,4.179742,60.5878,14.5172,930.695,0.933238,2.32318,721.5786,6.4408
23.63,0.0030297,997.2925,4.179733,60.5897,14.5178,930.4925,0.933037,2.32457,721.5639,6.4392
23.64,0.0030316,997.29,4.179724,60.5916,14.5184,930.29,0.932836,2.32596,721.5492,6.4376
23.65,0.0030335,997.2875,4.179715,60.5935,14.519,930.0875,0.932635,2.32735,721.5345,6.436
23.66,0.0030354,997.285,4.179706,60.5954,14.5196,929.885,0.932434,2.32874,721.5198,6.4344
23.67,0.0030373,997.2825,4.179697,60.5973,14.5202,929.6825,0.932233,2.33013,721.5051,6.4328
23.68,0.0030392,997.28,4.179688,60.5992,14.5208,929.48,0.932032,2.33152,721.4904,6.4312
23.69,0.0030411,997.2775,4.179679,60.6011,14.5214,929.2775,0.931831,2.33291,721.4757,6.4296
23.7,0.003043,997.275,4.17967,60.603,14.522,929.075,0.93163,2.3343,721.461,6.428
23.71,0.0030449,997.2725,4.179661,60.6049,14.5226,928.8725,0.931429,2.33569,721.4463,6.4264
23.72,0.0030468,997.27,4.179652,60.6068,14.5232,928.67,0.931228,2.33708,721.4316,6.4248
23.73,0.0030487,997.2675,4.179643,60.6087,14.5238,928.4675,0.931027,2.33847,721.4169,6.4232
23.74,0.0030506,997.265,4.179634,60.6106,14.5244,928.265,0.930826,2.33986,721.4022,6.4216
23.75,0.0030525,997.2625,4.179625,60.6125,14.525,928.0625,0.930625,2.34125,721.3875,6.42
23.76,0.0030544,997.26,4.179616,60.6144,14.5256,927.86,0.930424,2.34264,721.3728,6.4184
23.77,0.0030563,997.2575,4.179607,60.6163,14.5262,927.6575,0.930223,2.34403,721.3581,6.4168
23.78,0.0030582,997.255,4.179598,60.6182,14.5268,927.455,0.930022,2.34542,721.3434,6.4152
23.79,0.0030601,997.2525,4.179589,60.6201,14.5274,927.2525,0.929821,2.34681,721.3287,6.4136
23.8,0.003062,997.25,4.17958,60.622,14.528,927.05,0.92962,2.3482,721.314,6.412
23.81,0.0030639,997.2475,4.179571,60.6239,14.5286,926.8475,0.929419,2.34959,721.2993,6.4104
23.82,0.0030658,997.245,4.179562,60.6258,14.5292,926.645,0.929218,2.35098,721.2846,6.4088
23.83,0.0030677,997.2425,4.179553,60.6277,14.5298,926.4425,0.929017,2.35237,721.2699,6.4072
23.84,0.0030696,997.24,4.179544,60.6296,14.5304,926.24,0.928816,2.35376,721.2552,6.4056
23.85,0.0030715,997.2375,4.179535,60.6315,14.531,926.0375,0.928615,2.35515,721.2405,6.404
23.86,0.0030734,997.235,4.179526,60.6334,14.5316,925.835,0.928414,2.35654,721.2258,6.4024
23.87,0.0030753,997.2325,4.179517,60.6353,14.5322,925.6325,0.928213,2.35793,721.2111,6.4008
23.88,0.0030772,997.23,4.179508,60.6372,14.5328,925.43,0.928012,2.35932,721.1964,6.3992
23.89,0.0030791,997.2275,4.179499,60.6391,14.5334,925.2275,0.927811,2.36071,721.1817,6.3976
23.9,0.003081,997.225,4.17949,60.641,14.534,925.025,0.92761,2.3621,721.167,6.396
23.91,0.0030829,997.2225,4.179481,60.6429,14.5346,924.8225,0.927409,2.36349,721.1523,6.3944
23.92,0.0030848,997.22,4.179472,60.6448,14.5352,924.62,0.927208,2.36488,721.1376,6.3928
23.93,0.0030867,997.2175,4.179463,60.6467,14.5358,924.4175,0.927007,2.36627,721.1229,6.3912
23.94,0.0030886,997.215,4.179454,60.6486,14.5364,924.215,0.926806,2.36766,721.1082,6.3896
23.95,0.0030905,997.2125,4.179445,60.6505,14.537,924.0125,0.926605,2.36905,721.0935,6.388
23.96,0.0030924,997.21,4.179436,60.6524,14.5376,923.81,0.926404,2.37044,721.0788,6.3864
23.97,0.0030943,997.2075,4.179427,60.6543,14.5382,923.6075,0.926203,2.37183,721.0641,6.3848
23.98,0.0030962,997.205,4.179418,60.6562,14.5388,923.405,0.926002,2.37322,721.0494,6.3832
23.99,0.0030981,997.2025,4.179409,60.6581,14.5394,923.2025,0.925801,2.37461,721.0347,6.3816
24,0.0031,997.2,4.1794,60.66,14.54,923,0.9256,2.376,721.02,6.38
24.01,0.0031019,997.1975,4.179391,60.6619,14.5406,922.7975,0.925399,2.37739,721.0053,6.3784
24.02,0.0031038,997.195,4.179382,60.6638,14.5412,922.595,0.925198,2.37878,720.9906,6.3768
24.03,0.0031057,997.1925,4.179373,60.6657,14.5418,922.3925,0.924997,2.38017,720.9759,6.3752
24.04,0.0031076,997.19,4.179364,60.6676,14.5424,922.19,0.924796,2.38156,720.9612,6.3736
24.05,0.0031095,997.1875,4.179355,60.6695,14.543,921.9875,0.924595,2.38295,720.9465,6.372
24.06,0.0031114,997.185,4.179346,60.6714,14.5436,921.785,0.924394,2.38434,720.9318,6.3704
24.07,0.0031133,997.1825,4.179337,60.6733,14.5442,921.5825,0.924193,2.38573,720.9171,6.3688
24.08,0.0031152,997.18,4.179328,60.6752,14.5448,921.38,0.923992,2.38712,720.9024,6.3672
24.09,0.0031171,997.1775,4.179319,60.6771,14.5454,921.1775,0.923791,2.38851,720.8877,6.3656
24.1,0.003119,997.175,4.17931,60.679,14.546,920.975,0.92359,2.3899,720.873,6.364
24.11,0.0031209,997.1725,4.179301,60.6809,14.5466,920.7725,0.923389,2.39129,720.8583,6.3624
24.12,0.0031228,997.17,4.179292,60.6828,14.5472,920.57,0.923188,2.39268,720.8436,6.3608
24.13,0.0031247,997.1675,4.179283,60.6847,14.5478,920.3675,0.922987,2.39407,720.8289,6.3592
24.14,0.0031266,997.165,4.179274,60.6866,14.5484,920.165,0.922786,2.39546,720.8142,6.3576
24.15,0.0031285,997.1625,4.179265,60.6885,14.549,919.9625,0.922585,2.39685,720.7995,6.356
24.16,0.0031304,997.16,4.179256,60.6904,14.5496,919.76,0.922384,2.39824,720.7848,6.3544
24.17,0.0031323,997.1575,4.179247,60.6923,14.5502,919.5575,0.922183,2.39963,720.7701,6.3528
24.18,0.0031342,997.155,4.179238,60.6942,14.5508,919.355,0.921982,2.40102,720.7554,6.3512
24.19,0.0031361,997.1525,4.179229,60.6961,14.5514,919.1525,0.921781,2.40241,720.7407,6.3496
24.2,0.003138,997.15,4.17922,60.698,14.552,918.95,0.92158,2.4038,720.726,6.348
24.21,0.0031399,997.1475,4.179211,60.6999,14.5526,918.7475,0.921379,2.40519,720.7113,6.3464
24.22,0.0031418,997.145,4.179202,60.7018,14.5532,918.545,0.921178,2.40658,720.6966,6.3448
24.23,0.0031437,997.1425,4.179193,60.7037,14.5538,918.3425,0.920977,2.40797,720.6819,6.3432
24.24,0.0031456,997.14,4.179184,60.7056,14.5544,918.14,0.920776,2.40936,720.6672,6.3416
24.25,0.0031475,997.1375,4.179175,60.7075,14.555,917.9375,0.920575,2.41075,720.6525,6.34
24.26,0.0031494,997.135,4.179166,60.7094,14.5556,917.735,0.920374,2.41214,720.6378,6.3384
24.27,0.0031513,997.1325,4.179157,60.7113,14.5562,917.5325,0.920173,2.41353,720.6231,6.3368
24.28,0.0031532,997.13,4.179148,60.7132,14.5568,917.33,0.919972,2.41492,720.6084,6.3352
24.29,0.0031551,997.1275,4.179139,60.7151,14.5574,917.1275,0.919771,2.41631,720.5937,6.3336
24.3,0.003157,997.125,4.17913,60.717,14.558,916.925,0.91957,2.4177,720.579,6.332
24.31,0.0031589,997.1225,4.179121,60.7189,14.5586,916.7225,0.919369,2.41909,720.5643,6.3304
24.32,0.0031608,997.12,4.179112,60.7208,14.5592,916.52,0.919168,2.42048,720.5496,6.3288
24.33,0.0031627,997.1175,4.179103,60.7227,14.5598,916.3175,0.918967,2.42187,720.5349,6.3272
24.34,0.0031646,997.115,4.179094,60.7246,14.5604,916.115,0.918766,2.42326,720.5202,6.3256
24.35,0.0031665,997.1125,4.179085,60.7265,14.561,915.9125,0.918565,2.42465,720.5055,6.324
24.36,0.0031684,997.11,4.179076,60.7284,14.5616,915.71,0.918364,2.42604,720.4908,6.3224
24.37,0.0031703,997.1075,4.179067,60.7303,14.5622,915.5075,0.918163,2.42743,720.4761,6.3208
24.38,0.0031722,997.105,4.179058,60.7322,14.5628,915.305,0.917962,2.42882,720.4614,6.3192
24.39,0.0031741,997.1025,4.179049,60.7341,14.5634,915.1025,0.917761,2.43021,720.4467,6.3176
24.4,0.003176,997.1,4.17904,60.736,14.564,914.9,0.91756,2.4316,720.432,6.316
24.41,0.0031779,997.0975,4.179031,60.7379,14.5646,914.6975,0.917359,2.43299,720.4173,6.3144
24.42,0.0031798,997.095,4.179022,60.7398,14.5652,914.495,0.917158,2.43438,720.4026,6.3128
24.43,0.0031817,997.0925,4.179013,60.7417,14.5658,914.2925,0.916957,2.43577,720.3879,6.3112
24.44,0.0031836,997.09,4.179004,60.7436,14.5664,914.09,0.916756,2.43716,720.3732,6.3096
24.45,0.0031855,997.0875,4.178995,60.7455,14.567,913.8875,0.916555,2.43855,720.3585,6.308
24.46,0.0031874,997.085,4.178986,60.7474,14.5676,913.685,0.916354,2.43994,720.3438,6.3064
24.47,0.0031893,997.0825,4.178977,60.7493,14.5682,913.4825,0.916153,2.44133,720.3291,6.3048
24.48,0.0031912,997.08,4.178968,60.7512,14.5688,913.28,0.915952,2.44272,720.3144,6.3032
24.49,0.0031931,997.0775,4.178959,60.7531,14.5694,913.0775,0.915751,2.44411,720.2997,6.3016
24.5,0.003195,997.075,4.17895,60.755,14.57,912.875,0.91555,2.4455,720.285,6.3
24.51,0.0031969,997.0725,4.178941,60.7569,14.5706,912.6725,0.915349,2.44689,720.2703,6.2984
24.52,0.0031988,997.07,4.178932,60.7588,14.5712,912.47,0.915148,2.44828,720.2556,6.2968
24.53,0.0032007,997.0675,4.178923,60.7607,14.5718,912.2675,0.914947,2.44967,720.2409,6.2952
24.54,0.0032026,997.065,4.178914,60.7626,14.5724,912.065,0.914746,2.45106,720.2262,6.2936
24.55,0.0032045,997.0625,4.178905,60.7645,14.573,911.8625,0.914545,2.45245,720.2115,6.292
24.56,0.0032064,997.06,4.178896,60.7664,14.5736,911.66,0.914344,2.45384,720.1968,6.2904
24.57,0.0032083,997.0575,4.178887,60.7683,14.5742,911.4575,0.914143,2.45523,720.1821,6.2888
24.58,0.0032102,997.055,4.178878,60.7702,14.5748,911.255,0.913942,2.45662,720.1674,6.2872
24.59,0.0032121,997.0525,4.178869,60.7721,14.5754,911.0525,0.913741,2.45801,720.1527,6.2856
24.6,0.003214,997.05,4.17886,60.774,14.576,910.85,0.91354,2.4594,720.138,6.284
24.61,0.0032159,997.0475,4.178851,60.7759,14.5766,910.6475,0.913339,2.46079,720.1233,6.2824
24.62,0.0032178,997.045,4.178842,60.7778,14.5772,910.445,0.913138,2.46218,720.1086,6.2808
24.63,0.0032197,997.0425,4.178833,60.7797,14.5778,910.2425,0.912937,2.46357,720.0939,6.2792
24.64,0.0032216,997.04,4.178824,60.7816,14.5784,910.04,0.912736,2.46496,720.0792,6.2776
24.65,0.0032235,997.0375,4.178815,60.7835,14.579,909.8375,0.912535,2.46635,720.0645,6.276
24.66,0.0032254,997.035,4.178806,60.7854,14.5796,909.635,0.912334,2.46774,720.0498,6.2744
24.67,0.0032273,997.0325,4.178797,60.7873,14.5802,909.4325,0.912133,2.46913,720.0351,6.2728
24.68,0.0032292,997.03,4.178788,60.7892,14.5808,909.23,0.911932,2.47052,720.0204,6.2712
24.69,0.0032311,997.0275,4.178779,60.7911,14.5814,909.0275,0.911731,2.47191,720.0057,6.2696
24.7,0.003233,997.025,4.17877,60.793,14.582,908.825,0.91153,2.4733,719.991,6.268
24.71,0.0032349,997.0225,4.178761,60.7949,14.5826,908.6225,0.911329,2.47469,719.9763,6.2664
24.72,0.0032368,997.02,4.178752,60.7968,14.5832,908.42,0.911128,2.47608,719.9616,6.2648
24.73,0.0032387,997.0175,4.178743,60.7987,14.5838,908.2175,0.910927,2.47747,719.9469,6.2632
24.74,0.0032406,997.015,4.178734,60.8006,14.5844,908.015,0.910726,2.47886,719.9322,6.2616
24.75,0.0032425,997.0125,4.178725,60.8025,14.585,907.8125,0.910525,2.48025,719.9175,6.26
24.76,0.0032444,997.01,4.178716,60.8044,14.5856,907.61,0.910324,2.48164,719.9028,6.2584
24.77,0.0032463,997.0075,4.178707,60.8063,14.5862,907.4075,0.910123,2.48303,719.8881,6.2568
24.78,0.0032482,997.005,4.178698,60.8082,14.5868,907.205,0.909922,2.48442,719.8734,6.2552
24.79,0.0032501,997.0025,4.178689,60.8101,14.5874,907.0025,0.909721,2.48581,719.8587,6.2536
24.8,0.003252,997,4.17868,60.812,14.588,906.8,0.90952,2.4872,719.844,6.252
24.81,0.0032539,996.9975,4.178671,60.8139,14.5886,906.5975,0.909319,2.48859,719.8293,6.2504
24.82,0.0032558,996.995,4.178662,60.8158,14.5892,906.395,0.909118,2.48998,719.8146,6.2488
24.83,0.0032577,996.9925,4.178653,60.8177,14.5898,906.1925,0.908917,2.49137,719.7999,6.2472
24.84,0.0032596,996.99,4.178644,60.8196,14.5904,905.99,0.908716,2.49276,719.7852,6.2456
24.85,0.0032615,996.9875,4.178635,60.8215,14.591,905.7875,0.908515,2.49415,719.7705,6.244
24.86,0.0032634,996.985,4.178626,60.8234,14.5916,905.585,0.908314,2.49554,719.7558,6.2424
24.87,0.0032653,996.9825,4.178617,60.8253,14.5922,905.3825,0.908113,2.49693,719.7411,6.2408
24.88,0.0032672,996.98,4.178608,60.8272,14.5928,905.18,0.907912,2.49832,719.7264,6.2392
24.89,0.0032691,996.9775,4.178599,60.8291,14.5934,904.9775,0.907711,2.49971,719.7117,6.2376
24.9,0.003271,996.975,4.17859,60.831,14.594,904.775,0.90751,2.5011,719.697,6.236
24.91,0.0032729,996.9725,4.178581,60.8329,14.5946,904.5725,0.907309,2.50249,719.6823,6.2344
24.92,0.0032748,996.97,4.178572,60.8348,14.5952,904.37,0.907108,2.50388,719.6676,6.2328
24.93,0.0032767,996.9675,4.178563,60.8367,14.5958,904.1675,0.906907,2.50527,719.6529,6.2312
24.94,0.0032786,996.965,4.178554,60.8386,14.5964,903.965,0.906706,2.50666,719.6382,6.2296
24.95,0.0032805,996.9625,4.178545,60.8405,14.597,903.7625,0.906505,2.50805,719.6235,6.228
24.96,0.0032824,996.96,4.178536,60.8424,14.5976,903.56,0.906304,2.50944,719.6088,6.2264
24.97,0.0032843,996.9575,4.178527,60.8443,14.5982,903.3575,0.906103,2.51083,719.5941,6.2248
24.98,0.0032862,996.955,4.178518,60.8462,14.5988,903.155,0.905902,2.51222,719.5794,6.2232
24.99,0.0032881,996.9525,4.178509,60.8481,14.5994,902.9525,0.905701,2.51361,719.5647,6.2216
25,0.00329,996.95,4.1785,60.85,14.6,902.75,0.9055,2.515,719.55,6.22
25.01,0.0032919,996.9475,4.178491,60.8519,14.6006,902.5475,0.905299,2.51639,719.5353,6.2184
25.02,0.0032938,996.945,4.178482,60.8538,14.6012,902.345,0.905098,2.51778,719.5206,6.2168
25.03,0.0032957,996.9425,4.178473,60.8557,14.6018,902.1425,0.904897,2.51917,719.5059,6.2152
25.04,0.0032976,996.94,4.178464,60.8576,14.6024,901.94,0.904696,2.52056,719.4912,6.2136
25.05,0.0032995,996.9375,4.178455,60.8595,14.603,901.7375,0.904495,2.52195,719.4765,6.212
25.06,0.0033014,996.935,4.178446,60.8614,14.6036,901.535,0.904294,2.52334,719.4618,6.2104
25.07,0.0033033,996.9325,4.178437,60.8633,14.6042,901.3325,0.904093,2.52473,719.4471,6.2088
25.08,0.0033052,996.93,4.178428,60.8652,14.6048,901.13,0.903892,2.52612,719.4324,6.2072
25.09,0.0033071,996.9275,4.178419,60.8671,14.6054,900.9275,0.903691,2.52751,719.4177,6.2056
25.1,0.003309,996.925,4.17841,60.869,14.606,900.725,0.90349,2.5289,719.403,6.204
25.11,0.0033109,996.9225,4.178401,60.8709,14.6066,900.5225,0.903289,2.53029,719.3883,6.2024
25.12,0.0033128,996.92,4.178392,60.8728,14.6072,900.32,0.903088,2.53168,719.3736,6.2008
25.13,0.0033147,996.9175,4.178383,60.8747,14.6078,900.1175,0.902887,2.53307,719.3589,6.1992
25.14,0.0033166,996.915,4.178374,60.8766,14.6084,899.915,0.902686,2.53446,719.3442,6.1976
25.15,0.0033185,996.9125,4.178365,60.8785,14.609,899.7125,0.902485,2.53585,719.3295,6.196
25.16,0.0033204,996.91,4.178356,60.8804,14.6096,899.51,0.902284,2.53724,719.3148,6.1944
25.17,0.0033223,996.9075,4.178347,60.8823,14.6102,899.3075,0.902083,2.53863,719.3001,6.1928
25.18,0.0033242,996.905,4.178338,60.8842,14.6108,899.105,0.901882,2.54002,719.2854,6.1912
25.19,0.0033261,996.9025,4.178329,60.8861,14.6114,898.9025,0.901681,2.54141,719.2707,6.1896
25.2,0.003328,996.9,4.17832,60.888,14.612,898.7,0.90148,2.5428,719.256,6.188
25.21,0.0033299,996.8975,4.178311,60.8899,14.6126,898.4975,0.901279,2.54419,719.2413,6.1864
25.22,0.0033318,996.895,4.178302,60.8918,14.6132,898.295,0.901078,2.54558,719.2266,6.1848
25.23,0.0033337,996.8925,4.178293,60.8937,14.6138,898.0925,0.900877,2.54697,719.2119,6.1832
25.24,0.0033356,996.89,4.178284,60.8956,14.6144,897.89,0.900676,2.54836,719.1972,6.1816
25.25,0.0033375,996.8875,4.178275,60.8975,14.615,897.6875,0.900475,2.54975,719.1825,6.18
25.26,0.0033394,996.885,4.178266,60.8994,14.6156,897.485,0.900274,2.55114,719.1678,6.1784
25.27,0.0033413,996.8825,4.178257,60.9013,14.6162,897.2825,0.900073,2.55253,719.1531,6.1768
25.28,0.0033432,996.88,4.178248,60.9032,14.6168,897.08,0.899872,2.55392,719.1384,6.1752
25.29,0.0033451,996.8775,4.178239,60.9051,14.6174,896.8775,0.899671,2.55531,719.1237,6.1736
25.3,0.003347,996.875,4.17823,60.907,14.618,896.675,0.89947,2.5567,719.109,6.172
25.31,0.0033489,996.8725,4.178221,60.9089,14.6186,896.4725,0.899269,2.55809,719.0943,6.1704
25.32,0.0033508,996.87,4.178212,60.9108,14.6192,896.27,0.899068,2.55948,719.0796,6.1688
25.33,0.0033527,996.8675,4.178203,60.9127,14.6198,896.0675,0.898867,2.56087,719.0649,6.1672
25.34,0.0033546,996.865,4.178194,60.9146,14.6204,895.865,0.898666,2.56226,719.0502,6.1656
25.35,0.0033565,996.8625,4.178185,60.9165,14.621,895.6625,0.898465,2.56365,719.0355,6.164
25.36,0.0033584,996.86,4.178176,60.9184,14.6216,895.46,0.898264,2.56504,719.0208,6.1624
25.37,0.0033603,996.8575,4.178167,60.9203,14.6222,895.2575,0.898063,2.56643,719.0061,6.1608
25.38,0.0033622,996.855,4.178158,60.9222,14.6228,895.055,0.897862,2.56782,718.9914,6.1592
25.39,0.0033641,996.8525,4.178149,60.9241,14.6234,894.8525,0.897661,2.56921,718.9767,6.1576
25.4,0.003366,996.85,4.17814,60.926,14.624,894.65,0.89746,2.5706,718.962,6.156
25.41,0.0033679,996.8475,4.178131,60.9279,14.6246,894.4475,0.897259,2.57199,718.9473,6.1544
25.42,0.0033698,996.845,4.178122,60.9298,14.6252,894.245,0.897058,2.57338,718.9326,6.1528
25.43,0.0033717,996.8425,4.178113,60.9317,14.6258,894.0425,0.896857,2.57477,718.9179,6.1512
25.44,0.0033736,996.84,4.178104,60.9336,14.6264,893.84,0.896656,2.57616,718.9032,6.1496
25.45,0.0033755,996.8375,4.178095,60.9355,14.627,893.6375,0.896455,2.57755,718.8885,6.148
25.46,0.0033774,996.835,4.178086,60.9374,14.6276,893.435,0.896254,2.57894,718.8738,6.1464
25.47,0.0033793,996.8325,4.178077,60.9393,14.6282,893.2325,0.896053,2.58033,718.8591,6.1448
25.48,0.0033812,996.83,4.178068,60.9412,14.6288,893.03,0.895852,2.58172,718.8444,6.1432
25.49,0.0033831,996.8275,4.178059,60.9431,14.6294,892.8275,0.895651,2.58311,718.8297,6.1416
25.5,0.003385,996.825,4.17805,60.945,14.63,892.625,0.89545,2.5845,718.815,6.14
25.51,0.0033869,996.8225,4.178041,60.9469,14.6306,892.4225,0.895249,2.58589,718.8003,6.1384
25.52,0.0033888,996.82,4.178032,60.9488,14.6312,892.22,0.895048,2.58728,718.7856,6.1368
25.53,0.0033907,996.8175,4.178023,60.9507,14.6318,892.0175,0.894847,2.58867,718.7709,6.1352
25.54,0.0033926,996.815,4.178014,60.9526,14.6324,891.815,0.894646,2.59006,718.7562,6.1336
25.55,0.0033945,996.8125,4.178005,60.9545,14.633,891.6125,0.894445,2.59145,718.7415,6.132
25.56,0.0033964,996.81,4.177996,60.9564,14.6336,891.41,0.894244,2.59284,718.7268,6.1304
25.57,0.0033983,996.8075,4.177987,60.9583,14.6342,891.2075,0.894043,2.59423,718.7121,6.1288
25.58,0.0034002,996.805,4.177978,60.9602,14.6348,891.005,0.893842,2.59562,718.6974,6.1272
25.59,0.0034021,996.8025,4.177969,60.9621,14.6354,890.8025,0.893641,2.59701,718.6827,6.1256
25.6,0.003404,996.8,4.17796,60.964,14.636,890.6,0.89344,2.5984,718.668,6.124
25.61,0.0034059,996.7975,4.177951,60.9659,14.6366,890.3975,0.893239,2.59979,718.6533,6.1224
25.62,0.0034078,996.795,4.177942,60.9678,14.6372,890.195,0.893038,2.60118,718.6386,6.1208
25.63,0.0034097,996.7925,4.177933,60.9697,14.6378,889.9925,0.892837,2.60257,718.6239,6.1192
25.64,0.0034116,996.79,4.177924,60.9716,14.6384,889.79,0.892636,2.60396,718.6092,6.1176
25.65,0.0034135,996.7875,4.177915,60.9735,14.639,889.5875,0.892435,2.60535,718.5945,6.116
25.66,0.0034154,996.785,4.177906,60.9754,14.6396,889.385,0.892234,2.60674,718.5798,6.1144
25.67,0.0034173,996.7825,4.177897,60.9773,14.6402,889.1825,0.892033,2.60813,718.5651,6.1128
25.68,0.0034192,996.78,4.177888,60.9792,14.6408,888.98,0.891832,2.60952,718.5504,6.1112
25.69,0.0034211,996.7775,4.177879,60.9811,14.6414,888.7775,0.891631,2.61091,718.5357,6.1096
25.7,0.003423,996.775,4.17787,60.983,14.642,888.575,0.89143,2.6123,718.521,6.108
25.71,0.0034249,996.7725,4.177861,60.9849,14.6426,888.3725,0.891229,2.61369,718.5063,6.1064
25.72,0.0034268,996.77,4.177852,60.9868,14.6432,888.17,0.891028,2.61508,718.4916,6.1048
25.73,0.0034287,996.7675,4.177843,60.9887,14.6438,887.9675,0.890827,2.61647,718.4769,6.1032
25.74,0.0034306,996.765,4.177834,60.9906,14.6444,887.765,0.890626,2.61786,718.4622,6.1016
25.75,0.0034325,996.7625,4.177825,60.9925,14.645,887.5625,0.890425,2.61925,718.4475,6.1
25.76,0.0034344,996.76,4.177816,60.9944,14.6456,887.36,0.890224,2.62064,718.4328,6.0984
25.77,0.0034363,996.7575,4.177807,60.9963,14.6462,887.1575,0.890023,2.62203,718.4181,6.0968
25.78,0.0034382,996.755,4.177798,60.9982,14.6468,886.955,0.889822,2.62342,718.4034,6.0952
25.79,0.0034401,996.7525,4.177789,61.0001,14.6474,886.7525,0.889621,2.62481,718.3887,6.0936
25.8,0.003442,996.75,4.17778,61.002,14.648,886.55,0.88942,2.6262,718.374,6.092
25.81,0.0034439,996.7475,4.177771,61.0039,14.6486,886.3475,0.889219,2.62759,718.3593,6.0904
25.82,0.0034458,996.745,4.177762,61.0058,14.6492,886.145,0.889018,2.62898,718.3446,6.0888
25.83,0.0034477,996.7425,4.177753,61.0077,14.6498,885.9425,0.888817,2.63037,718.3299,6.0872
25.84,0.0034496,996.74,4.177744,61.0096,14.6504,885.74,0.888616,2.63176,718.3152,6.0856
25.85,0.0034515,996.7375,4.177735,61.0115,14.651,885.5375,0.888415,2.63315,718.3005,6.084
